filename,name,loc,logicalLoc,volume,length,vocabulary,effort,difficulty,time,bugs,intelligentContent,maintainabilityIndexWithoutComment,maintainabilityIndex,commentWeight,instability,afferentCoupling,efferentCoupling,noc,noca,nocc,noc-anon,noi,nom,cyclomaticComplexity,myerInterval,myerDistance,operators,lcom,sysc,rsysc,dc,rdc,sc,rsc
src/Functor/Predicate/AndP.php,src/Functor/Predicate/AndP.php,58,6,247.71,50,31,2111.73,8.53,117,0.08,29.06,65.86,108.91,43.05,0.5,1,1,1,0,1,0,0,2,3,3:3,0,0,1,4.5,2.25,3.5,1.75,1,0.5
src/Functor/Predicate/ComplexP.php,src/Functor/Predicate/ComplexP.php,79,8,355.74,74,28,2608.79,7.33,145,0.12,48.51,62.3,102.15,39.85,0.83,1,5,1,0,1,0,0,5,1,1:1,0,0,1,26.83,5.37,3.83,0.77,23,4.6
src/Functor/Predicate/DualP.php,src/Functor/Predicate/DualP.php,47,6,181.11,39,25,1022.74,5.65,57,0.06,32.07,66.95,108.61,41.66,1,0,2,1,0,1,0,0,2,2,2:2,0,0,1,3.5,1.75,1.5,0.75,2,1
src/Functor/Predicate/EqualP.php,src/Functor/Predicate/EqualP.php,40,9,286.62,59,29,2933.65,10.24,163,0.1,28,61.44,97.74,36.3,0,0,0,1,0,1,0,0,1,4,4:4,0,0,1,2,2,2,2,0,0
src/Functor/Predicate/FalseP.php,src/Functor/Predicate/FalseP.php,45,6,185.47,41,23,1014.27,5.47,56,0.06,33.91,66.87,109.12,42.25,1,0,1,1,0,1,0,0,2,2,2:2,0,0,1,3.5,1.75,2.5,1.25,1,0.5
src/Functor/Predicate/FloatP.php,src/Functor/Predicate/FloatP.php,49,6,206.72,43,28,1492.95,7.22,83,0.07,28.62,66.41,107.5,41.09,1,0,2,1,0,1,0,0,2,3,3:3,0,0,1,3.5,1.75,1.5,0.75,2,1
src/Functor/Predicate/IfElseP.php,src/Functor/Predicate/IfElseP.php,57,9,313.82,66,27,2708.78,8.63,150,0.1,36.36,61.3,105.07,43.77,1,0,1,1,0,1,0,0,2,3,3:3,0,0,1,4.5,2.25,3.5,1.75,1,0.5
src/Functor/Predicate/IfP.php,src/Functor/Predicate/IfP.php,50,7,244.42,52,26,1738.12,7.11,97,0.08,34.37,64.44,107.83,43.39,1,0,1,1,0,1,0,0,2,3,3:3,0,0,1,4,2,3,1.5,1,0.5
src/Functor/Predicate/IntP.php,src/Functor/Predicate/IntP.php,49,6,206.72,43,28,1492.95,7.22,83,0.07,28.62,66.41,107.5,41.09,1,0,2,1,0,1,0,0,2,3,3:3,0,0,1,3.5,1.75,1.5,0.75,2,1
src/Functor/Predicate/InvokeP.php,src/Functor/Predicate/InvokeP.php,52,7,211.52,44,28,1302.54,6.16,72,0.07,34.35,65.01,106.66,41.65,1,0,1,1,0,1,0,0,2,2,2:2,0,0,1,3,1.5,2,1,1,0.5
src/Functor/Predicate/NotP.php,src/Functor/Predicate/NotP.php,41,5,144.95,33,21,724.73,5,40,0.05,28.99,69.49,112.98,43.49,0.5,1,1,1,0,1,0,0,2,1,1:1,0,0,1,3.5,1.75,2.5,1.25,1,0.5
src/Functor/Predicate/OrP.php,src/Functor/Predicate/OrP.php,59,6,247.71,50,31,2111.73,8.53,117,0.08,29.06,65.86,109.18,43.32,0.5,1,1,1,0,1,0,0,2,3,3:3,0,0,1,4.5,2.25,3.5,1.75,1,0.5
src/Functor/Predicate/PredicateInterface.php,src/Functor/Predicate/PredicateInterface.php,30,3,44.97,13,11,67.46,1.5,4,0.01,29.98,77.88,124.48,46.6,0,14,0,1,1,0,0,1,1,1,1:1,0,0,0,2,2,2,2,0,0
src/Functor/Predicate/SingleP.php,src/Functor/Predicate/SingleP.php,47,6,178.81,39,24,1072.88,6,60,0.06,29.8,66.99,108.65,41.66,1,0,2,1,0,1,0,0,2,2,2:2,0,0,1,3.5,1.75,1.5,0.75,2,1
src/Functor/Predicate/StrictEqualP.php,src/Functor/Predicate/StrictEqualP.php,40,9,278.83,58,28,2616.05,9.38,145,0.09,29.72,61.52,97.82,36.3,0,0,0,1,0,1,0,0,1,4,4:4,0,0,1,2,2,2,2,0,0
src/Functor/Predicate/StringP.php,src/Functor/Predicate/StringP.php,49,6,206.72,43,28,1492.95,7.22,83,0.07,28.62,66.41,107.5,41.09,1,0,2,1,0,1,0,0,2,3,3:3,0,0,1,3.5,1.75,1.5,0.75,2,1
src/Functor/Predicate/TrueP.php,src/Functor/Predicate/TrueP.php,45,6,185.47,41,23,1014.27,5.47,56,0.06,33.91,66.87,109.12,42.25,1,0,1,1,0,1,0,0,2,2,2:2,0,0,1,3.5,1.75,2.5,1.25,1,0.5
src/Functor/Predicate/XorP.php,src/Functor/Predicate/XorP.php,53,9,421.97,81,37,4463.1,10.58,248,0.14,39.89,60.53,101.92,41.39,1,0,1,1,0,1,0,0,2,2,2:2,0,0,1,4.5,2.25,3.5,1.75,1,0.5
